PROCESSED TRAINING DATA: FORMAT = X, Y, Z, Angle, Axis X, Axis Y, Axis Z

277.349, -170.642, 4161.29, 2.6784297830155537, -0.4179503834746916, 0.5685106614164575, -0.7085993965628113
268.372, -348.491, 4106.16, 2.6927791696818923, -0.42121956921000914, 0.5553866457344573, -0.7170214419767116
256.996, -488.548, 4056.51, 2.753687212616728, -0.43755716596188965, 0.4887031495421357, -0.7547933214748236
218.651, -687.689, 3954.86, 2.8248968585062473, -0.4490438925318509, 0.4239043774107186, -0.7865523894769341
254.438, -651.118, 3952.66, 2.50312572683225, 0.8961072636459698, -0.41008903656279344, 0.16976087338351
366.623, -590.096, 3875.19, 1.9898693155250646, 0.9850405405236274, -0.16031975138616666, -0.06318790106023138
482.496, -326.165, 3858.19, 1.016144679988064, 0.9548503649153162, -0.29480937441419025, 0.036718025254653175
354.709, -130.691, 3793.43, 1.9770371232867443, 0.1075529819643233, -0.7618048870467865, -0.638815834292024
338.213, -58.3119, 3725.51, 2.292525353104679, 0.4118329145228589, -0.2658041127004654, -0.8716317021466842
270.356, 20.0331, 3770.29, 2.292525353104679, 0.4118329145228589, -0.2658041127004654, -0.8716317021466842
261.081, -20.6232, 3809.34, 1.2062783975623956, 0.9542539431716194, 0.19436717180437227, -0.22720214450173037
196.827, -659.451, 3992.11, 2.5469834652230228, -0.4965312304185253, -0.8653495930705595, -0.06802072472182603
84.16, -636.018, 4067.21, 2.090850873868152, -0.457904906253364, -0.8339720151323823, 0.3079184547979083
-20.2845, -406.012, 4218.04, 2.631795904969971, -0.606885273506939, -0.5243091279886606, 0.5973191802614227
-70.5043, -189.384, 4114.21, 1.8892203594590515, -0.9921225672522246, 0.11273937202593018, 0.0546136021889612
-111.065, -91.8341, 4090.23, 1.213592611545839, -0.9840302742856799, 0.12494560318521408, 0.12677939711929828
-71.101, 9.33527, 4068.23, 1.213592611545839, -0.9840302742856799, 0.12494560318521408, 0.12677939711929828
-46.3643, -72.4161, 4019.83, 2.234100065918754, -0.6381014227976958, -0.4028574789682304, 0.6561496977541923
355.009, -157.913, 4107.58, 2.362008739582713, -0.3685539029545104, 0.7964415377541297, -0.47942559126191253
222.035, 223.785, 3999.86, 2.8373403989279637, -0.49317476582934444, 0.41010942901856046, -0.7671954813339568
300.419, 528.637, 4246.31, 2.8609001429965026, -0.4878183250309016, 0.40871658123927235, -0.7713520843195582
249.498, 716.523, 4225.73, 2.6573985673786047, 0.4593087260821104, 0.26016308256505766, 0.849323651274987
207.319, -182.12, 4209.72, 2.6093774053818546, 0.3629160775464561, 0.4717218710717024, 0.8035984053063487
65.0237, 189.721, 4082.87, 2.3295309039173704, 0.20594415477607114, 0.8291842859167977, 0.5196541398875023
158.817, 543.928, 4252.98, 2.343343163011972, 0.21031224608312304, 0.8171433125066659, 0.5366987665097666
95.0841, 703.175, 4198.08, 2.3028355485840755, -0.15019779454410695, 0.969188653965083, -0.19522800910585725
196.776, -755.128, 3907.33, 2.666165659824191, -0.678753373452267, 0.4497711127503544, -0.5805168422728796
176.27, -719.46, 3744.55, 2.666165659824191, -0.678753373452267, 0.4497711127503544, -0.5805168422728796
217.146, -758.985, 3758.24, 2.532324574914823, 0.6635155691762237, 0.09418867483994395, 0.7422099318876346
293.419, -782.734, 3863.9, 1.7008438286595073, 0.3133235102534451, 0.750695885854535, 0.5816219260684162
163.634, -769.948, 3759.17, 2.532324574914823, 0.6635155691762237, 0.09418867483994395, 0.7422099318876346
128.535, -835.289, 3874.24, 2.0896517555916425, 0.6787533734522669, -0.44977111275035436, 0.5805168422728797
190.442, -174.312, 4116.23, 2.3067428060181694, -0.6614943460540761, 0.43729364648969515, -0.6092614355744467
199.01, -334.738, 4059.0, 2.292498421469325, -0.6587692009267289, 0.44525882896215085, -0.6064385501776854
205.817, -463.303, 4014.12, 2.3076611131654245, -0.5710089993866805, 0.5013519080991564, -0.6500730627127669
198.746, -664.384, 3963.24, 2.4011624308258472, -0.5930622054469428, 0.4389983142015728, -0.6749501467505473
231.984, -631.773, 3968.46, 2.863073361911915, 0.8263940904749304, -0.5519815795680747, -0.11130652741706451
360.051, -584.257, 3972.37, 1.9797647692145277, 0.8205153985826347, -0.464624459932855, -0.33298437188685454
424.162, -328.258, 3960.63, 1.4257941670533492, 0.6827675832171534, -0.7062512934273034, -0.18718316655102482
385.479, -153.389, 3829.93, 1.8678359292023476, 0.2050459190445237, -0.8518383738011422, -0.4820036887856898
383.22, -92.525, 3760.91, 2.697114959132605, 0.5909422799772377, -0.09715251057138072, -0.8008424385763917
350.42, -50.9861, 3849.61, 2.697114959132605, 0.5909422799772377, -0.09715251057138072, -0.8008424385763917
331.009, -50.5895, 3875.55, 1.4654821485384342, 0.8730696127427062, 0.45293536832988746, -0.18055194106176292
168.195, -631.042, 3976.76, 2.7769884388644583, -0.5746282322114931, -0.8153136588036081, 0.0711760670012617
51.9745, -591.171, 4003.36, 2.0894883276408662, -0.39098595061491814, -0.8268148582745998, 0.40436020644729914
-15.6341, -365.172, 4132.98, 2.237727231593369, -0.4660024524552531, -0.7163935387704952, 0.519251395678025
-56.5365, -147.779, 4171.43, 2.155798320993344, -0.8667219419617549, 0.11516116934779286, -0.4853153411921919
-83.0543, -70.1616, 4227.07, 1.359861796809622, -0.7152314215096148, 0.46329228491270885, -0.5232631005772308
-39.8174, 20.3066, 4211.11, 1.359861796809622, -0.7152314215096148, 0.46329228491270885, -0.5232631005772308
-27.6007, -34.1829, 4199.46, 1.0238885535125841, -0.6919564081755939, -0.7116186333321628, 0.12163572616298077
277.405, -171.534, 4121.47, 2.330264589993222, -0.6253446023558765, 0.49499881440484994, -0.6032580725047644
249.069, 194.98, 4227.86, 2.464797501678758, -0.649795237866039, 0.41772293547545775, -0.6350383437434188
226.421, 516.478, 4400.75, 2.1914249583537466, -0.6753377133164598, 0.45698848649619367, -0.5788613790731021
239.675, 657.001, 4290.53, 2.9446363542307283, 0.7557492970522864, 0.0754554508790547, 0.6504994042561557
112.024, -176.817, 4111.52, 2.3089974737110146, 0.5813694300435261, 0.5160911629199328, 0.6290147036173452
116.244, 195.19, 4023.58, 2.2523788708539927, 0.5662067542319972, 0.5537363816693088, 0.6105619797185609
