[0.2814354,0.11515088,0.8616871]
0.2859896,0.11904572,0.85746825
0.2914592,0.12270081,0.8524418
0.29024374,0.12363206,0.8520427
0.2916497,0.1242076,0.85132825
0.29599288,0.12395866,0.84995186
0.2969837,0.1253756,0.84964967
0.3019066,0.12506723,0.84880006
0.30161983,0.12808748,0.84709215
0.3035838,0.12792695,0.84443194
0.308847,0.12691163,0.84465826
0.31227607,0.13082471,0.83914423
0.31347597,0.13245463,0.83786184
0.31588262,0.13487852,0.8349979
0.31908166,0.13586992,0.8328097
0.32246432,0.13732177,0.831488
0.31008983,0.14191252,0.8274517
0.3097601,0.1431204,0.8261868
0.31113297,0.14475511,0.82464814
0.32985497,0.13958365,0.8285296
0.3300362,0.14131087,0.8272873
0.32887858,0.14445217,0.8246859
0.3165362,0.1532847,0.8171164
0.32927647,0.14959207,0.8201855
0.33103377,0.15025796,0.81916857
0.33283317,0.15261905,0.8167727
0.3389225,0.15269406,0.8132553
0.333006,0.16065112,0.80749756
0.3431642,0.15670732,0.8118412
0.34591264,0.15371394,0.8105614
0.34786028,0.15663737,0.8075086
0.350985,0.15725115,0.8064861
0.3535971,0.16129598,0.80106187
0.3551154,0.1614789,0.8017318
0.3584773,0.16331947,0.7993476
0.36347038,0.16820493,0.79151016
0.36214012,0.17424747,0.7840823
0.36883464,0.1735427,0.7882232
0.36585242,0.1816508,0.7773101
0.36852884,0.18035062,0.77844644
0.35874122,0.18863127,0.76941645
0.35473824,0.19425344,0.75880396
0.361494,0.19389994,0.75847703
0.3631052,0.19474107,0.7571271
0.36573192,0.19432469,0.7603645
0.36700535,0.19456947,0.75886494
0.3693711,0.19356064,0.7581692
0.37102276,0.19504544,0.75719595
0.37150383,0.19549763,0.75561035
0.37099925,0.20052502,0.75003254
0.37028646,0.20303929,0.74560916
0.37080655,0.2041211,0.7433262
0.36884192,0.20716137,0.73741716
0.36745384,0.21002397,0.73366827
0.36759382,0.21167496,0.73068076
0.36678097,0.21359119,0.7269753
0.36561707,0.21598603,0.7262744
0.364394,0.21788687,0.723519
0.3612109,0.21952842,0.72119135
0.3591274,0.22087362,0.7191083
0.35970992,0.2223851,0.7163921
0.35987124,0.22405984,0.7134453
0.35705787,0.22527313,0.7116534
0.3550089,0.2263189,0.7095095
0.354975,0.22846878,0.70605576
0.35486722,0.23129356,0.702471
0.35489494,0.23250091,0.70109683
0.3535269,0.2348066,0.69744307
0.34994006,0.23753092,0.691644
0.3481384,0.24034038,0.68726265
0.34357268,0.2423111,0.68348014
0.34127754,0.24400525,0.6783366
0.34111792,0.24529701,0.67676204
0.34227538,0.24868295,0.6743891
0.33840674,0.25016543,0.67035353
0.33832413,0.25072405,0.66955316
0.33099973,0.2520147,0.66715777
0.33048606,0.2554821,0.66249263
0.33016616,0.25712156,0.6615869
0.3294682,0.2591815,0.6586895
0.32425737,0.2628305,0.65427196
0.3258201,0.26488197,0.65085006
0.32650954,0.26669186,0.6554127
0.32555592,0.2681049,0.6532259
0.32460698,0.26963437,0.64962995
0.32470375,0.2695363,0.6491792
0.32514817,0.27156162,0.6454952
0.32408082,0.27219963,0.64465266
0.32139087,0.27531338,0.6418718
0.31671357,0.2779339,0.6353326
0.31650707,0.27861977,0.63643706
0.3137468,0.27972436,0.63384867
0.31347346,0.28177705,0.63140965
0.3123564,0.28420508,0.62601805
0.30938688,0.2859909,0.62195814
0.30659783,0.28637725,0.62213385
0.30576038,0.28930655,0.6165273
0.3017501,0.28982347,0.616955
0.3014238,0.29114643,0.6140444
0.3003662,0.29347676,0.6116837
0.30046922,0.2936368,0.6116657
0.29210544,0.2928499,0.61200917
0.28869513,0.293526,0.6109241
0.29699004,0.2976755,0.6047975
0.28993332,0.29554158,0.60783005
0.28648323,0.2962944,0.6055547
0.28247607,0.29744834,0.604498
0.2830723,0.29959437,0.60258085
0.2805022,0.30256552,0.5996113
0.2779647,0.30329984,0.59845084
0.27587134,0.30481517,0.59610176
0.27398813,0.3066867,0.59391874
0.27270705,0.3081596,0.5923456
0.2710615,0.31076878,0.5881944
0.2693823,0.3134482,0.58385015
0.2683066,0.3148505,0.5819951
0.2630549,0.3150739,0.5804186
0.26263943,0.3168753,0.5780969
0.26169816,0.31758124,0.5768585
0.2604004,0.3190742,0.5745486
0.2581096,0.31874216,0.57410866
0.25729495,0.3202954,0.5720028
0.25667292,0.32178512,0.56987816
0.2563666,0.32285172,0.56858194
0.25562167,0.3248699,0.56637883
0.25023887,0.32461566,0.56534517
0.2496971,0.3247519,0.5650457
0.25314218,0.32464835,0.56587887
0.24792561,0.32662517,0.5635995
0.2487592,0.32639346,0.56378055
0.24940856,0.32658082,0.56330633
0.24995103,0.3272939,0.56237197
0.24710943,0.32835722,0.56122285
0.24276194,0.32778203,0.562388
0.24988844,0.33223823,0.55617535
0.24634151,0.33076304,0.55834043
0.25168252,0.33355737,0.5541167
0.2529164,0.33430573,0.5536102
0.24143212,0.32994533,0.5608065
0.23999831,0.33103165,0.56014305
0.24116108,0.33194685,0.55899036
0.23601188,0.32985762,0.56178117
0.2415151,0.33004972,0.56078565
0.23491016,0.33226955,0.5599948
0.23609614,0.33383572,0.5584249
